group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct
small_cluster,27,cluster_27,Ascl1,27.823666,8.100561,2.2441232730567862e-170,3.6805865801404355e-166,1.0,0.007922272047832586,0.9920777279521674
small_cluster,27,cluster_27,Fmnl1,25.205822,9.422575,3.458236424940696e-140,2.8359267802726177e-136,0.2857142857142857,0.0005979073243647235,0.285116378389921
small_cluster,27,cluster_27,Syt1,24.687304,7.639144,1.4640799290030313e-134,8.004124971859572e-131,0.42857142857142855,0.0016442451420029896,0.42692718342942554
small_cluster,27,cluster_27,Chga,22.215675,6.9034433,2.423090056914343e-109,9.935275005863036e-106,1.0,0.012855007473841554,0.9871449925261584
small_cluster,27,cluster_27,Rtn4rl1,21.80272,8.584461,2.1863459239865336e-105,4.4822824374128924e-102,0.2857142857142857,0.0008968609865470852,0.28481742472773863
small_cluster,27,cluster_27,Rundc3a,20.951103,7.077045,1.833316199704945e-97,3.3409132212623116e-94,0.8571428571428571,0.010612855007473842,0.8465300021353832
small_cluster,27,cluster_27,Cnpy1,20.633099,7.769505,1.3848400802851883e-94,2.2712762156757376e-91,0.42857142857142855,0.0025411061285500747,0.4260303224428785
small_cluster,27,cluster_27,Ngf,20.3361,7.456508,6.16427899639217e-92,9.190939983620726e-89,0.8571428571428571,0.011360239162929745,0.8457826179799274
small_cluster,27,cluster_27,Pkib,20.05256,6.6567726,1.917160988339034e-89,2.6202797808123747e-86,1.0,0.015994020926756353,0.9840059790732436
small_cluster,27,cluster_27,Nefh,19.271803,8.083242,9.265214642490326e-83,1.1689137334729526e-79,0.42857142857142855,0.0029895366218236174,0.42558189194960494
small_cluster,27,cluster_27,B3gat2,18.799414,7.279136,7.635595385152819e-79,8.945099993706527e-76,0.42857142857142855,0.003139013452914798,0.42543241511851376
small_cluster,27,cluster_27,St8sia5,18.791855,6.8834553,8.804812129698776e-79,9.627181582612641e-76,0.42857142857142855,0.003139013452914798,0.42543241511851376
small_cluster,27,cluster_27,Uchl1,18.562944,6.7817087,6.4094666478929436e-77,6.570103905755761e-74,0.7142857142857143,0.009417040358744395,0.70486867392697
small_cluster,27,cluster_27,Kif1a,18.396893,6.843293,1.3911685566934648e-75,1.342150323431148e-72,0.42857142857142855,0.003288490284005979,0.4252829382874226
small_cluster,27,cluster_27,Scg5,18.26045,6.997098,1.7087550303939396e-74,1.5569606251939448e-71,0.8571428571428571,0.014200298953662182,0.842942558189195
small_cluster,27,cluster_27,Tmem163,18.105204,7.327682,2.899410376988799e-73,2.502801557525963e-70,0.5714285714285714,0.006278026905829596,0.5651505445227418
small_cluster,27,cluster_27,Tmem171,18.098366,6.9316707,3.2825863959390964e-73,2.691884973989856e-70,0.5714285714285714,0.006278026905829596,0.5651505445227418
small_cluster,27,cluster_27,Ina,17.748423,7.4160237,1.772637471396913e-70,1.0383223988707418e-67,0.2857142857142857,0.0014947683109118087,0.28421951740337387
small_cluster,27,cluster_27,Slc35d3,17.368477,7.167722,1.4297238067050585e-67,8.085827639230918e-65,0.5714285714285714,0.0068759342301943195,0.5645526371983771
small_cluster,27,cluster_27,Neto1,17.070084,7.7269597,2.4784740759158247e-65,1.3549817773031813e-62,0.2857142857142857,0.0016442451420029896,0.2840700405722827
small_cluster,27,cluster_27,Pex5l,17.041862,7.2176375,4.017378204403981e-65,2.1254522558203126e-62,0.2857142857142857,0.0016442451420029896,0.2840700405722827
small_cluster,27,cluster_27,Scn3a,17.039295,6.7923036,4.197537309691582e-65,2.1513690442578636e-62,0.2857142857142857,0.0016442451420029896,0.2840700405722827
small_cluster,27,cluster_27,Slc38a5,16.795195,6.779991,2.646354967879449e-63,1.315238419036086e-60,0.42857142857142855,0.004035874439461884,0.42453555413196664
small_cluster,27,cluster_27,Resp18,16.513338,6.7142615,2.9415666431322347e-61,1.4189598386474053e-58,0.42857142857142855,0.004185351270553065,0.42438607730087546
small_cluster,27,cluster_27,Dll3,16.503355,6.787054,3.470597421732161e-61,1.6263219518236906e-58,0.42857142857142855,0.004185351270553065,0.42438607730087546
small_cluster,27,cluster_27,Ret,15.855536,7.1028256,1.287232940250789e-56,5.86441873695922e-54,0.2857142857142857,0.0019431988041853513,0.28377108691010033
small_cluster,27,cluster_27,Cxcl13,15.529819,6.97864,2.1799422986984562e-54,9.66303611917659e-52,0.7142857142857143,0.013751868460388639,0.7005338458253256
small_cluster,27,cluster_27,Gdap1l1,15.338169,6.651163,4.25012689408969e-53,1.452215233124271e-50,0.2857142857142857,0.0020926756352765323,0.28362161007900916
small_cluster,27,cluster_27,Col8a1,15.120493,6.9216976,1.1865056892068924e-51,3.971404042588213e-49,0.42857142857142855,0.005082212257100149,0.4234892163143284
small_cluster,27,cluster_27,Snap25,14.874723,6.556652,4.809690748620855e-50,1.5776747593626128e-47,0.42857142857142855,0.00523168908819133,0.4233397394832372
small_cluster,27,cluster_27,Nov,14.751953,6.4492245,2.988859627045454e-49,9.611820930033821e-47,0.8571428571428571,0.02242152466367713,0.83472133247918
small_cluster,27,cluster_27,Syt7,14.631119,6.052359,1.7783938388552173e-48,5.609122567512388e-46,0.7142857142857143,0.01554559043348281,0.6987401238522315
small_cluster,27,cluster_27,Kif5a,14.484938,7.327244,1.50860046897965e-47,4.668406847497215e-45,0.2857142857142857,0.002391629297458894,0.2833226564168268
small_cluster,27,cluster_27,Cbfa2t3,14.445677,6.276962,2.669219503566717e-47,8.1070127922218e-45,0.2857142857142857,0.002391629297458894,0.2833226564168268
small_cluster,27,cluster_27,Chgb,14.274182,5.932785,3.169836866161278e-46,9.45245353489293e-44,0.42857142857142855,0.005680119581464873,0.4228913089899637
small_cluster,27,cluster_27,Phyhipl,13.698143,6.662049,1.0415441520289707e-42,2.669119630847992e-40,0.2857142857142857,0.0026905829596412557,0.28302370275464445
small_cluster,27,cluster_27,Calca,13.661581,6.9634767,1.7220493075231193e-42,4.345127798874874e-40,0.7142857142857143,0.017937219730941704,0.6963484945547725
small_cluster,27,cluster_27,Kcnc1,13.34579,6.1530747,1.2533475415988699e-40,3.1145686408731913e-38,0.2857142857142857,0.0028400597907324364,0.28287422592355327
small_cluster,27,cluster_27,Dner,12.504596,6.9288793,7.045725531293684e-36,1.627562597728841e-33,0.2857142857142857,0.003288490284005979,0.28242579543027974
small_cluster,27,cluster_27,Insm1,12.205648,5.9331694,2.899884872876405e-34,6.605696083339712e-32,0.2857142857142857,0.0034379671150971598,0.28227631859918856
small_cluster,27,cluster_27,Bex4,12.0630865,6.01763,1.6546332271021996e-33,3.717484870918243e-31,0.5714285714285714,0.014648729446935725,0.5567798419816357
small_cluster,27,cluster_27,Scn9a,11.957714,5.8354764,5.916804225101927e-33,1.3113717039986043e-30,0.2857142857142857,0.003587443946188341,0.2821268417680974
small_cluster,27,cluster_27,Rab3b,11.846078,5.1541057,2.2549967880202735e-32,4.931226976042734e-30,0.5714285714285714,0.014798206278026907,0.5566303651505445
small_cluster,27,cluster_27,Slc16a6,11.785853,6.8435535,4.617220214329935e-32,9.964082728319115e-30,0.2857142857142857,0.0037369207772795215,0.2819773649370062
small_cluster,27,cluster_27,Snhg11,11.741301,5.9275117,7.827327517052507e-32,1.667220761132184e-29,0.2857142857142857,0.0037369207772795215,0.2819773649370062
small_cluster,27,cluster_27,1500009L16Rik,11.691779,5.5872655,1.4041409634074226e-31,2.9524764026724537e-29,0.5714285714285714,0.015396113602391629,0.5560324578261797
small_cluster,27,cluster_27,Homer2,11.65232,6.0146985,2.232959560334657e-31,4.6357936391200894e-29,0.8571428571428571,0.03617339312406577,0.8209694640187913
small_cluster,27,cluster_27,Elavl4,11.33261,6.260917,9.04680118818402e-30,1.7876697143060974e-27,0.2857142857142857,0.004035874439461884,0.2816784112748238
small_cluster,27,cluster_27,Pcsk1,11.115064,5.6494713,1.0597487770029907e-28,2.0691594870983395e-26,0.2857142857142857,0.004185351270553065,0.2815289344437326
small_cluster,27,cluster_27,Gzma,10.984903,5.983415,4.517236135802809e-28,8.716139983917867e-26,0.42857142857142855,0.009865470852017937,0.4187059577194106
small_cluster,27,cluster_27,St18,10.604207,6.055335,2.848706238571073e-26,5.191292335422686e-24,0.2857142857142857,0.004633781763826607,0.2810805039504591
small_cluster,27,cluster_27,Tmem45b,10.346889,4.468094,4.323069949352296e-25,7.791502224101869e-23,0.5714285714285714,0.019133034379671152,0.5522955370489002
