group_kind,group_id,row_label,gene,scores,log2fc,pvals,fdr,pct_in,pct_bg,delta_pct,marker_rank
small_cluster,27,cluster_27,Ascl1,27.823666,8.100561,2.2441232730567862e-170,3.6805865801404355e-166,1.0,0.007922272047832586,0.9920777279521674,1
small_cluster,27,cluster_27,Fmnl1,25.205822,9.422575,3.458236424940696e-140,2.8359267802726177e-136,0.2857142857142857,0.0005979073243647235,0.285116378389921,2
small_cluster,27,cluster_27,Syt1,24.687304,7.639144,1.4640799290030313e-134,8.004124971859572e-131,0.42857142857142855,0.0016442451420029896,0.42692718342942554,3
small_cluster,27,cluster_27,Chga,22.215675,6.9034433,2.423090056914343e-109,9.935275005863036e-106,1.0,0.012855007473841554,0.9871449925261584,4
small_cluster,27,cluster_27,Rtn4rl1,21.80272,8.584461,2.1863459239865336e-105,4.4822824374128924e-102,0.2857142857142857,0.0008968609865470852,0.28481742472773863,5
small_cluster,27,cluster_27,Rundc3a,20.951103,7.077045,1.833316199704945e-97,3.3409132212623116e-94,0.8571428571428571,0.010612855007473842,0.8465300021353832,6
small_cluster,27,cluster_27,Cnpy1,20.633099,7.769505,1.3848400802851883e-94,2.2712762156757376e-91,0.42857142857142855,0.0025411061285500747,0.4260303224428785,7
small_cluster,27,cluster_27,Ngf,20.3361,7.456508,6.16427899639217e-92,9.190939983620726e-89,0.8571428571428571,0.011360239162929745,0.8457826179799274,8
small_cluster,27,cluster_27,Pkib,20.05256,6.6567726,1.917160988339034e-89,2.6202797808123747e-86,1.0,0.015994020926756353,0.9840059790732436,9
small_cluster,27,cluster_27,Nefh,19.271803,8.083242,9.265214642490326e-83,1.1689137334729526e-79,0.42857142857142855,0.0029895366218236174,0.42558189194960494,10
small_cluster,27,cluster_27,B3gat2,18.799414,7.279136,7.635595385152819e-79,8.945099993706527e-76,0.42857142857142855,0.003139013452914798,0.42543241511851376,11
small_cluster,27,cluster_27,St8sia5,18.791855,6.8834553,8.804812129698776e-79,9.627181582612641e-76,0.42857142857142855,0.003139013452914798,0.42543241511851376,12
small_cluster,27,cluster_27,Uchl1,18.562944,6.7817087,6.4094666478929436e-77,6.570103905755761e-74,0.7142857142857143,0.009417040358744395,0.70486867392697,13
small_cluster,27,cluster_27,Kif1a,18.396893,6.843293,1.3911685566934648e-75,1.342150323431148e-72,0.42857142857142855,0.003288490284005979,0.4252829382874226,14
small_cluster,27,cluster_27,Scg5,18.26045,6.997098,1.7087550303939396e-74,1.5569606251939448e-71,0.8571428571428571,0.014200298953662182,0.842942558189195,15
small_cluster,27,cluster_27,Tmem163,18.105204,7.327682,2.899410376988799e-73,2.502801557525963e-70,0.5714285714285714,0.006278026905829596,0.5651505445227418,16
small_cluster,27,cluster_27,Tmem171,18.098366,6.9316707,3.2825863959390964e-73,2.691884973989856e-70,0.5714285714285714,0.006278026905829596,0.5651505445227418,17
