Dataset,Method,cluster_id,cluster_size,dominant_label,dominant_count,dominant_frac,top3,label_entropy,tp,fp,fn,tn,f1,precision,is_dominant_rare,n_rare_types_hit,hit_types
Airway.h5,RAG,42,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,43,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,44,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,45,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,46,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,47,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,48,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,49,2,Basal,2,1.0,Basal:2,-1.000088900581841e-12,2,0,3570,3125,0.001119194180190263,1.0,False,0,
Airway.h5,RAG,5,477,Basal,447,0.9371069182389937,Basal:447;Club:15;Neuroendocrine:7,0.3064951347081362,447,30,3125,3095,0.2207952580884169,0.9371069182389937,False,0,
Airway.h5,RAG,50,2,Club,2,1.0,Club:2,-1.000088900581841e-12,2,0,2470,4225,0.0016168148746968473,1.0,False,0,
Airway.h5,RAG,51,2,Basal,1,0.5,Basal:1;Neuroendocrine:1,0.6931471805579453,1,1,3571,3124,0.0005595970900951316,0.5,False,0,
Airway.h5,RAG,52,2,Ciliated,2,1.0,Ciliated:2,-1.000088900581841e-12,2,0,351,6344,0.011267605633802816,1.0,False,0,
